country;region;Provincia;Comuna;latitude;longitude
Chile;Antofagasta;Antofagasta;Antofagasta;-23.651;-70.395
Chile;Antofagasta;Antofagasta;Mejillones;-23.110;-70.456
Chile;Antofagasta;Antofagasta;Sierra Gorda;-22.898;-69.323
Chile;Antofagasta;Antofagasta;Taltal;-25.410;-70.489
Chile;Antofagasta;El Loa;Calama;-22.474;-68.924
Chile;Antofagasta;El Loa;Ollagüe;-21.233;-68.267
Chile;Antofagasta;El Loa;San Pedro de Atacama;-22.920;-68.210
Chile;Antofagasta;Tocopilla;María Elena;-22.317;-69.677
Chile;Antofagasta;Tocopilla;Tocopilla;-22.082;-70.189
Chile;Arica y Parinacota;Arica;Arica;-18.455;-70.290
Chile;Arica y Parinacota;Arica;Camarones;-19.017;-69.867
Chile;Arica y Parinacota;Parinacota;General Lagos;-17.653;-69.635
Chile;Arica y Parinacota;Parinacota;Putre;-18.200;-69.583
Chile;Atacama;Chañaral;Chañaral;-26.346;-70.624
Chile;Atacama;Chañaral;Diego de Almagro;-26.390;-70.052
Chile;Atacama;Copiapó;Caldera;-27.066;-70.826
Chile;Atacama;Copiapó;Copiapó;-27.375;-70.329
Chile;Atacama;Copiapó;Tierra Amarilla;-27.473;-70.283
Chile;Atacama;Huasco;Alto del Carmen;-28.749;-70.491
Chile;Atacama;Huasco;Freirina;-28.506;-71.076
Chile;Atacama;Huasco;Huasco;-28.456;-71.186
Chile;Atacama;Huasco;Vallenar;-28.577;-70.770
Chile;Aysén del General Carlos Ibáñez del Campo;Aisén;Aysén;-45.412;-72.698
Chile;Aysén del General Carlos Ibáñez del Campo;Aisén;Cisnes;-44.751;-72.697
Chile;Aysén del General Carlos Ibáñez del Campo;Aisén;Guaitecas;-43.884;-73.950
Chile;Aysén del General Carlos Ibáñez del Campo;Capitán Prat;Cochrane;-47.267;-72.550
Chile;Aysén del General Carlos Ibáñez del Campo;Capitán Prat;O'Higgins;-48.800;-73.183
Chile;Aysén del General Carlos Ibáñez del Campo;Capitán Prat;Tortel;-47.781;-73.512
Chile;Aysén del General Carlos Ibáñez del Campo;Coihaique;Coyhaique;-45.564;-72.065
Chile;Aysén del General Carlos Ibáñez del Campo;Coihaique;Lago Verde;-44.219;-71.839
Chile;Aysén del General Carlos Ibáñez del Campo;General Carrera;Chile Chico;-46.550;-71.733
