Comunas;etnia;etnia2;frec;n;perc;lat;long
ANTOFAGASTA;Lafquenche;Mapuche;2;266;0.007518797;-23.651;-70.395
HUASCO;Lafquenche;Mapuche;1;266;0.003759398;-28.456;-71.186
LA SERENA;Lafquenche;Mapuche;1;266;0.003759398;-29.907;-71.247
QUINTERO;Lafquenche;Mapuche;1;266;0.003759398;-32.845;-71.467
SAN ANTONIO;Lafquenche;Mapuche;1;266;0.003759398;-27.867;-70.05
COLTAUCO;Lafquenche;Mapuche;1;266;0.003759398;-34.297;-71.092
HUALAÑÉ;Lafquenche;Mapuche;4;266;0.015037594;-34.983;-71.817
CONCEPCIÓN;Lafquenche;Mapuche;10;266;0.037593985;-36.815;-73.029
CORONEL;Lafquenche;Mapuche;8;266;0.030075188;-36.982;-73.157
CHIGUAYANTE;Lafquenche;Mapuche;3;266;0.011278195;-36.909;-73.028
PENCO;Lafquenche;Mapuche;1;266;0.003759398;-36.742;-72.998
SAN PEDRO DE LA PAZ;Lafquenche;Mapuche;2;266;0.007518797;-36.864;-73.108
TALCAHUANO;Lafquenche;Mapuche;3;266;0.011278195;-36.736;-73.105
TOMÉ;Lafquenche;Mapuche;6;266;0.022556391;-36.624;-72.95
HUALPÉN;Lafquenche;Mapuche;1;266;0.003759398;-36.789;-73.11
LEBU;Lafquenche;Mapuche;16;266;0.060150376;-37.606;-73.643
ARAUCO;Lafquenche;Mapuche;1;266;0.003759398;-37.257;-73.284
CAÑETE;Lafquenche;Mapuche;3;266;0.011278195;-35.283;-72.233
CURANILAHUE;Lafquenche;Mapuche;1;266;0.003759398;-37.472;-73.348
TIRÚA;Lafquenche;Mapuche;1;266;0.003759398;-38.339;-73.484
LOS ÁNGELES;Lafquenche;Mapuche;1;266;0.003759398;-36.944;-72.351
ALTO BIOBÍO;Lafquenche;Mapuche;1;266;0.003759398;-33.619;-70.591
TEMUCO;Lafquenche;Mapuche;11;266;0.041353383;-38.727;-72.599
LAUTARO;Lafquenche;Mapuche;1;266;0.003759398;-38.529;-72.427
NUEVA IMPERIAL;Lafquenche;Mapuche;1;266;0.003759398;-38.745;-72.95
PADRE LAS CASAS;Lafquenche;Mapuche;1;266;0.003759398;-38.766;-72.593
SAAVEDRA;Lafquenche;Mapuche;3;266;0.011278195;-38.783;-73.4
TEODORO SCHMIDT;Lafquenche;Mapuche;10;266;0.037593985;-38.967;-73.05
TOLTÉN;Lafquenche;Mapuche;1;266;0.003759398;-39.217;-73.217
VILCÚN;Lafquenche;Mapuche;3;266;0.011278195;-38.65;-72.233
VILLARRICA;Lafquenche;Mapuche;3;266;0.011278195;-39.28;-72.218
COLLIPULLI;Lafquenche;Mapuche;3;266;0.011278195;-37.953;-72.432
PUERTO MONTT;Lafquenche;Mapuche;5;266;0.018796992;-41.454;-72.993
LLANQUIHUE;Lafquenche;Mapuche;1;266;0.003759398;-41.266;-73.012
PUERTO VARAS;Lafquenche;Mapuche;2;266;0.007518797;-41.323;-72.97
CASTRO;Lafquenche;Mapuche;1;266;0.003759398;-42.478;-73.779
ANCUD;Lafquenche;Mapuche;5;266;0.018796992;-41.877;-73.814
CHONCHI;Lafquenche;Mapuche;1;266;0.003759398;-42.626;-73.781
OSORNO;Lafquenche;Mapuche;2;266;0.007518797;-40.574;-73.126
SAN JUAN DE LA COSTA;Lafquenche;Mapuche;3;266;0.011278195;-40.501;-73.392
CHAITÉN;Lafquenche;Mapuche;1;266;0.003759398;-42.899;-72.667
HUALAIHUÉ;Lafquenche;Mapuche;1;266;0.003759398;-41.992;-72.667
AYSÉN;Lafquenche;Mapuche;3;266;0.011278195;-45.412;-72.698
CISNES;Lafquenche;Mapuche;1;266;0.003759398;-44.751;-72.697
